date,contributor,github_url,twitter,repo,issue,issue_url,pr,bounty_name,tier,xtm_amount,usdc_rate,usd_value,cumulative_usd,kyc_status,notes
2026-04-10,0xskr33p,https://github.com/0xskr33p,@0xskr33p,tari-project/tari-ootle,1975,https://github.com/tari-project/tari-ootle/issues/1975,1983,Fix Event Topic Assertion in Indexer Cucumber Test,S,15000,0.0006087,9.13,9.13,not_required,
2026-04-10,0xskr33p,https://github.com/0xskr33p,@0xskr33p,tari-project/tari-ootle,1976,https://github.com/tari-project/tari-ootle/issues/1976,1989,Fix Indexer Substate Lookup in Wallet Daemon Test,S,15000,0.0006087,9.13,18.26,not_required,
2026-04-14,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/minotari-cli,102,https://github.com/tari-project/minotari-cli/issues/102,116,Fix Cucumber Wallet Scan Height Validation,S,15000,0.0006087,9.13,9.13,not_required,
2026-04-14,ledgerpilot,https://github.com/ledgerpilot,,tari-project/aiteen,1,https://github.com/tari-project/aiteen/issues/1,3,Replace Aiteen with a Robust i18n Pipeline,M,60000,0.0006087,36.52,36.52,not_required,
2026-04-20,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/tari,7738,https://github.com/tari-project/tari/issues/7738,7744,Wallet Sparse Scanned Block Header Storage,M,60000,0.00062758,37.65,46.78,not_required,
2026-04-20,0xskr33p,https://github.com/0xskr33p,@0xskr33p,tari-project/tari-ootle,1974,https://github.com/tari-project/tari-ootle/issues/1974,2024,Fix Claim Burn Ownership Proof in Cucumber Tests,M,60000,0.00062758,37.65,55.91,not_required,
2026-04-20,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/universe,3084,https://github.com/tari-project/universe/issues/3084,3184,Support Custom Node Selection for Remote Connection,M,60000,0.00062758,37.65,84.43,not_required,
2026-04-20,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/universe,2657,https://github.com/tari-project/universe/issues/2657,3185,Persist Mining State Across Sleep/Resume,S,15000,0.00062758,9.41,93.84,not_required,
2026-04-22,sanrishi,https://github.com/sanrishi,@Sanchit45883255,tari-project/faqqer,1,https://github.com/tari-project/faqqer/issues/1,4,Replace Faqqer with Self-Learning Multi-Channel AI Help Bot,L,150000,0.00060656,90.98,90.98,not_required,
2026-04-22,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/minotari-cli,113,https://github.com/tari-project/minotari-cli/issues/113,117,Add Payref Tracking to Wallet,M,60000,0.00060656,36.39,130.23,not_required,
2026-04-22,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/universe,3128,https://github.com/tari-project/universe/issues/3128,3186,Fix Seed Word Import Mnemonic Error,S,15000,0.00060656,9.10,139.33,not_required,
2026-04-23,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/tari-ootle,1931,https://github.com/tari-project/tari-ootle/issues/1931,1990,Wallet Address Book,L,150000,0.00062694,94.04,233.37,not_required,merged 2026-04-20 but missed in prior scan
2026-04-23,0xPepeSilvia,https://github.com/0xPepeSilvia,,tari-project/universe,3178,https://github.com/tari-project/universe/issues/3178,3187,Fix Custom Node Data Location on macOS with NAS (SMB),M,60000,0.00062694,37.62,270.99,not_required,
2026-04-24,0xskr33p,https://github.com/0xskr33p,@0xskr33p,tari-project/tari,7737,https://github.com/tari-project/tari/issues/7737,7747,Convert Merge Mining Cucumber Tests to RxT,S,15000,0.00062601,9.39,65.30,not_required,PR not linked to issue; merged 2026-04-17
